Date,DIS Close Price,NFLX Close Price
08-03-16,97.82,96.23
09-03-16,97.66,98
10-03-16,97.04,97.36
11-03-16,97.94,97.66
14-03-16,98.81,98.13
15-03-16,98.24,97.86
16-03-16,98.44,99.35
17-03-16,99.6,99.72
18-03-16,99.2,101.12
21-03-16,98.46,101.06
22-03-16,97.58,99.84
23-03-16,96.83,99.59
24-03-16,97.22,98.36
28-03-16,98.09,101.21
29-03-16,98.16,104.13
30-03-16,98.91,102.19
31-03-16,99.31,102.23
01-04-16,99.07,105.7
04-04-16,98.68,104.35
05-04-16,97,104.94
06-04-16,97.48,104.83
07-04-16,96.16,104.45
08-04-16,96.42,103.81
11-04-16,96.27,102.68
12-04-16,97.35,106.98
13-04-16,99.48,109.65
14-04-16,98.63,110.42
15-04-16,98.59,111.51
18-04-16,101.48,108.4
19-04-16,102.64,94.34
20-04-16,103.27,96.77
21-04-16,102.91,94.98
22-04-16,103.77,95.9
25-04-16,104.57,93.56
26-04-16,104.89,92.43
27-04-16,105.28,91.04
28-04-16,104.03,90.28
29-04-16,103.26,90.03
02-05-16,104.36,93.11
03-05-16,103.78,91.54
04-05-16,103.67,90.79
05-05-16,104.93,89.37
06-05-16,105.54,90.84
09-05-16,105.34,90.54
10-05-16,106.6,92.89
11-05-16,102.29,90.02
12-05-16,101.71,87.74
13-05-16,100.52,87.88
16-05-16,100.36,89.12
17-05-16,99.94,88.63
18-05-16,99,90.5
19-05-16,98.41,89.55
20-05-16,99.78,92.49
23-05-16,99.18,94.89
24-05-16,99.51,97.89
25-05-16,99.86,100.2
26-05-16,99.81,102.81
27-05-16,100.29,103.3
31-05-16,99.22,102.57
01-06-16,98.52,101.51
02-06-16,98.72,101.25
03-06-16,98.75,99.59
06-06-16,98.78,100.74
07-06-16,98.35,99.89
08-06-16,98.04,97.86
09-06-16,97.84,97.09
10-06-16,97.34,93.75
13-06-16,97.57,93.85
14-06-16,98.4,94.12
15-06-16,98.27,94.29
16-06-16,98.38,95.44
17-06-16,99,94.45
20-06-16,99.57,93.8
21-06-16,98.82,90.99
22-06-16,98.79,90.01
23-06-16,99.02,91.66
24-06-16,95.72,88.44
27-06-16,94.38,85.33
28-06-16,96.05,87.97
29-06-16,96.98,91.06
30-06-16,97.82,91.48
01-07-16,98.03,96.67
05-07-16,97.66,97.91
06-07-16,98.45,94.6
07-07-16,98.41,95.1
08-07-16,99.62,97.06
11-07-16,99.98,94.67
12-07-16,100.2,95.97
13-07-16,99.88,96.43
14-07-16,99.97,98.02
15-07-16,99.8,98.39
18-07-16,100.15,98.81
19-07-16,99.47,85.84
20-07-16,98.22,87.91
21-07-16,98.01,85.99
22-07-16,97.71,85.89
25-07-16,97.39,87.66
26-07-16,96.69,91.41
27-07-16,96.33,92.04
28-07-16,95.91,91.65
29-07-16,95.95,91.25
01-08-16,95.54,94.37
02-08-16,95.01,93.56
03-08-16,96.09,93.1
04-08-16,95.16,93.44
05-08-16,95.83,97.03
08-08-16,95.75,95.11
09-08-16,96.67,93.99
10-08-16,97.86,93.93
11-08-16,97.77,95.89
12-08-16,96.84,96.59
15-08-16,97.1,95.31
16-08-16,96.88,95.12
17-08-16,96.87,96.37
18-08-16,96.65,96.16
19-08-16,96.39,95.87
22-08-16,95.87,95.26
23-08-16,95.97,95.94
24-08-16,95.82,95.18
25-08-16,95.55,97.32
26-08-16,95.21,97.58
29-08-16,94.87,97.3
30-08-16,94.86,97.45
31-08-16,94.46,97.45
01-09-16,94.26,97.38
02-09-16,94.42,97.38
06-09-16,93.8,100.09
07-09-16,93.71,99.15
08-09-16,94.09,99.66
09-09-16,92.42,96.5
12-09-16,93.64,99.05
13-09-16,92.7,96.09
14-09-16,92.26,97.01
15-09-16,92.5,97.34
16-09-16,92.56,99.48
19-09-16,92.63,98.06
20-09-16,92.95,98.25
21-09-16,92.39,94.88
22-09-16,93.41,95.83
23-09-16,93.27,95.94
26-09-16,91.96,94.56
27-09-16,91.72,97.07
28-09-16,92.2,97.48
29-09-16,91.8,96.67
30-09-16,92.86,98.55
03-10-16,92.49,102.63
04-10-16,92.59,102.34
05-10-16,92.45,106.28
06-10-16,92.83,105.07
07-10-16,92.49,104.82
10-10-16,92.49,103.33
11-10-16,91.86,100.59
12-10-16,91.41,99.5
13-10-16,91.12,100.23
14-10-16,91.3,101.47
17-10-16,90.83,99.8
18-10-16,91.17,118.79
19-10-16,91.93,121.87
20-10-16,92.03,123.35
21-10-16,93.03,127.5
24-10-16,93.37,127.33
25-10-16,92.75,126.51
26-10-16,93.49,126.97
27-10-16,94.02,126.47
28-10-16,93.85,126.57
31-10-16,92.69,124.87
01-11-16,92.39,123.3
02-11-16,91.91,122.34
03-11-16,93.37,122.14
04-11-16,92.45,122.03
07-11-16,94.43,124.58
08-11-16,94.38,124.34
09-11-16,94.64,122.19
10-11-16,94.96,115.42
11-11-16,97.68,114.78
14-11-16,97.92,113.38
15-11-16,97.7,113.59
16-11-16,99.12,115.19
17-11-16,99.37,115.03
18-11-16,98.24,115.21
21-11-16,97.63,117.96
22-11-16,97.71,118.04
23-11-16,98.26,117.69
25-11-16,98.82,117.41
28-11-16,98.97,116.93
29-11-16,99.67,117.51
30-11-16,99.12,117
01-12-16,98.94,117.22
02-12-16,98.5,120.81
05-12-16,99.96,119.16
06-12-16,100.66,124.57
07-12-16,101.99,125.39
08-12-16,103.38,123.24
09-12-16,104.86,122.88
12-12-16,104.06,122.83
13-12-16,103.85,123.78
14-12-16,104.05,123.44
15-12-16,104.39,125
16-12-16,103.91,124.22
19-12-16,105.3,125.45
20-12-16,105.46,125.12
21-12-16,105.56,126.5
22-12-16,105.42,125.58
23-12-16,105.15,125.59
27-12-16,105.17,128.35
28-12-16,104.3,125.89
29-12-16,104.56,125.33
30-12-16,104.22,123.8
03-01-17,106.08,127.49
04-01-17,107.44,129.41
05-01-17,107.38,131.81
06-01-17,108.98,131.07
09-01-17,108.36,130.95
10-01-17,108.38,129.89
11-01-17,109.44,130.5
12-01-17,107.53,129.18
13-01-17,108.06,133.7
17-01-17,107.97,132.89
18-01-17,108.16,133.26
19-01-17,107.28,138.41
20-01-17,107.66,138.6
23-01-17,107.12,137.39
24-01-17,107.9,140.11
25-01-17,108.04,139.52
26-01-17,108.06,138.96
27-01-17,109.3,142.45
30-01-17,110.94,141.22
31-01-17,110.65,140.71
01-02-17,111.3,140.78
02-02-17,110.61,139.2
03-02-17,110.3,140.25
06-02-17,109.57,140.97
07-02-17,109,144
08-02-17,109,144.74
09-02-17,109.49,144.14
10-02-17,109.26,144.82
13-02-17,109.65,143.2
14-02-17,110.33,140.82
15-02-17,110.18,142.27
16-02-17,110.71,142.01
17-02-17,110.06,142.22
21-02-17,110.01,142.6
22-02-17,110.12,143.86
23-02-17,109.73,142.78
24-02-17,110.32,143.25
27-02-17,110.23,143.41
28-02-17,110.09,142.13
01-03-17,111.04,142.65
02-03-17,110.59,139.53
03-03-17,111.24,139.14
06-03-17,110.67,141.94
07-03-17,110.86,141.43
08-03-17,110.84,140.32
09-03-17,111.03,140.53
